y	st	lat	lon	col	prod	pob	area					
1986	AL	32.46189917	-86.79523056	41	1722	4015257	13576.5					
1986	AZ	34.20952778	-111.0595278	77	3850	3437102	28635.1					
1986	ARK	34.41672972	-92.45006306	21	1344	2342359	13773.2					
1986	CAL	37.75058917	-120.0505889	520	27040	27777153	42397					
1986	COLO	38.96655833	-105.0998889	41	3198	3260478	26960.1					
1986	FLA	28.83524083	-81.91857417	290	21750	11997290	17030.4					
1986	GA	32.67768111	-83.52768056	115	4715	6208470	14999.8					
1986	HAW	19.51250278	-155.0625	9	1323	1067911	2831.1					
1986	ID	39.93660444	-86.21993611	100	4500	985004	216.446					
1986	ILL	40.07544444	-89.30877778	30	810	11391176	14999.8					
1986	IND	39.86693611	-86.14471389	27	621	5473009	94.321					
1986	IOWA	41.93358056	-93.48358056	40	2360	2767005	14574.3					
1986	KS	38.43878889	-98.40545556	47	3995	2445387	21309.6					
1986	KY	37.43447222	-85.09002778	15	225	3683325	10465.9					
1986	LA	31.39494444	-92.51678611	35	2030	4344129	13426.4					
1986	ME	45.45910278	-69.22576944	9	153	1170126	91.646					
1986	MI	44.34451944	-84.69451944	80	4480	9187485	25049.4					
1986	MN	46.37010556	-94.67010556	136	10608	4235140	22517.1					
1986	MS	32.77700556	-89.66033889	23	1242	2588539	12543.4					
1986	MO	38.43345278	-92.51678611	30	1590	5056695	18053.3					
1986	MT	47.19634167	-109.0463333	110	7040	805064	38083.8					
1986	NE	41.36925833	-99.635925	100	7600	1566558	20034.5					
1986	NJ	40.21587222	-74.49920556	16	480	7670743	2258.8					
1986	NY	43.17661667	-75.50995	92	2944	17868849	14129.9					
1986	NC	35.64380278	-79.37713611	18	540	6403696	13938.9					
1986	ND	47.43108889	-100.0527222	290	31030	661167	18311.2					
1986	OH	40.29351111	-82.82684444	59	1534	10760081	11609.6					
1986	OR	43.87287222	-120.0895278	59	2537	2700999	25480.5					
1986	PA	40.82463056	-77.64129722	50	1600	11810864	119.283					
1986	SD	44.47313333	-100.0231111	201	22713	696042	19973.1					
1986	TN	35.85901389	-86.47430556	36	1152	4782930	10915.1					
1986	TX	31.58439444	-99.21844444	117	7254	16621799	69562.1					
1986	UT	39.44435556	-111.061	35	1575	1678115	21988.7					
1986	VT	44.15561667	-72.06024167	7	119	540273	2490.1					
1986	VA	37.55003056	-78.783875	30	1140	5932267	11078.5					
1986	WA	47.41219444	-120.0288611	75	3600	4531891	18466.5					
1986	WV	38.72501944	-80.54168611	17	510	1857579	6275.5					
1986	WI	44.59897778	-89.68231111	85	4250	4777930	16963.9					
1986	WY	43.07391389	-107.56	40	2080	476967	25333.6					
1987	AL	32.46189917	-86.79523056	46	1610	4023848	13576.5					
1987	AZ	34.20952778	-111.0595278	73	3431	3535179	28635.1					
1987	ARK	34.41672972	-92.45006306	29	2001	2342638	13773.2					
1987	CAL	37.75058917	-120.0505889	500	16500	28464253	42397					
1987	COLO	38.96655833	-105.0998889	44	3212	3262281	26960.1					
1987	FLA	28.83524083	-81.91857417	240	18960	12306396	17030.4					
1987	GA	32.67768111	-83.52768056	120	4560	6316153	14999.8					
1987	HAW	19.51250278	-155.0625	9	1710	1079823	2831.1					
1987	ID	39.93660444	-86.21993611	105	6300	985669	216.446					
1987	ILL	40.07544444	-89.30877778	28	2100	11390176	14999.8					
1987	IND	39.86693611	-86.14471389	25	1450	5491734	94.321					
1987	IOWA	41.93358056	-93.48358056	44	4532	2768392	14574.3					
1987	KS	38.43878889	-98.40545556	46	2346	2461987	21309.6					
1987	KY	37.43447222	-85.09002778	14	350	3680003	10465.9					
1987	LA	31.39494444	-92.51678611	35	2625	4288835	13426.4					
1987	ME	45.45910278	-69.22576944	9	414	1184577	91.646					
1987	MI	44.34451944	-84.69451944	80	5440	9218000	25049.4					
1987	MN	46.37010556	-94.67010556	150	16200	4296162	22517.1					
1987	MS	32.77700556	-89.66033889	19	1140	2580353	12543.4					
1987	MO	38.43345278	-92.51678611	30	1950	5081730	18053.3					
1987	MT	47.19634167	-109.0463333	95	9690	800194	38083.8					
1987	NE	41.36925833	-99.635925	120	11040	1571464	20034.5					
1987	NJ	40.21587222	-74.49920556	25	850	7712334	2258.8					
1987	NY	43.17661667	-75.50995	90	3960	17941310	14129.9					
1987	NC	35.64380278	-79.37713611	20	960	6480598	13938.9					
1987	ND	47.43108889	-100.0527222	280	30800	655273	18311.2					
1987	OH	40.29351111	-82.82684444	55	2750	10798562	11609.6					
1987	OR	43.87287222	-120.0895278	55	2310	2741307	25480.5					
1987	PA	40.82463056	-77.64129722	48	1872	11845753	119.283					
1987	SD	44.47313333	-100.0231111	250	33500	698148	19973.1					
1987	TN	35.85901389	-86.47430556	35	1925	4822437	10915.1					
1987	TX	31.58439444	-99.21844444	110	8140	16667025	69562.1					
1987	UT	39.44435556	-111.061	35	1688	1689366	21988.7					
1987	VT	44.15561667	-72.06024167	7	322	549766	2490.1					
1987	VA	37.55003056	-78.783875	25	1200	6036911	11078.5					
1987	WA	47.41219444	-120.0288611	75	4125	4639893	18466.5					
1987	WV	38.72501944	-80.54168611	21	861	1830211	6275.5					
1987	WI	44.59897778	-89.68231111	83	8051	4822402	16963.9					
1987	WY	43.07391389	-107.56	37	2886	465098	25333.6					
1988	AL	32.46189917	-86.79523056	42	1764	4030224	13576.5					
1988	AZ	34.20952778	-111.0595278	73	3577	3622176	28635.1					
1988	ARK	34.41672972	-92.45006306	25	1675	2346387	13773.2					
1988	CAL	37.75058917	-120.0505889	520	20800	29218161	42397					
1988	COLO	38.96655833	-105.0998889	48	3984	3275821	26960.1					
1988	FLA	28.83524083	-81.91857417	240	25200	12637709	17030.4					
1988	GA	32.67768111	-83.52768056	115	4715	6411085	14999.8					
1988	HAW	19.51250278	-155.0625	9	1611	1094584	2831.1					
1988	ID	39.93660444	-86.21993611	112	5936	994426	216.446					
1988	ILL	40.07544444	-89.30877778	28	1932	11409785	14999.8					
1988	IND	39.86693611	-86.14471389	29	1885	5523684	94.321					
1988	IOWA	41.93358056	-93.48358056	48	6321	2770585	14574.3					
1988	KS	38.43878889	-98.40545556	42	2898	2472847	21309.6					
1988	KY	37.43447222	-85.09002778	12	480	3677312	10465.9					
1988	LA	31.39494444	-92.51678611	38	3420	4252906	13426.4					
1988	ME	45.45910278	-69.22576944	14	364	1203840	91.646					
1988	MI	44.34451944	-84.69451944	83	6059	9253290	25049.4					
1988	MN	46.37010556	-94.67010556	150	19350	4338045	22517.1					
1988	MS	32.77700556	-89.66033889	21	1386	2574273	12543.4					
1988	MO	38.43345278	-92.51678611	30	2400	5095819	18053.3					
1988	MT	47.19634167	-109.0463333	105	5040	799642	38083.8					
1988	NE	41.36925833	-99.635925	113	10848	1574881	20034.5					
1988	NJ	40.21587222	-74.49920556	30	930	7726086	2258.8					
1988	NY	43.17661667	-75.50995	94	5546	17983088	14129.9					
1988	NC	35.64380278	-79.37713611	21	966	6565467	13938.9					
1988	ND	47.43108889	-100.0527222	230	15180	646341	18311.2					
1988	OH	40.29351111	-82.82684444	50	2400	10829211	11609.6					
